Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Ethiopia,ETH,Rural population,SP.RUR.TOTL,81245141
Ethiopia,ETH,"Population total",SP.POP.TOTL,100835453
Ethiopia,ETH,"Population male",SP.POP.TOTL.MA.IN,50408589
Ethiopia,ETH,"Population female",SP.POP.TOTL.FE.IN,50426864
Ethiopia,ETH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.705413868072999
Ethiopia,ETH,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,30.2928105475922
Ethiopia,ETH,"Armed forces personnel total",MS.MIL.TOTL.P1,138000
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.3
"Egypt, Arab Rep.",EGY,Surface area (sq. km),AG.SRF.TOTL.K2,1001450
"Egypt, Arab Rep.",EGY,Scientific and technical journal articles,IP.JRN.ARTC.SC,9820.47
"Egypt, Arab Rep.",EGY,Rural population,SP.RUR.TOTL,52891004
"Egypt, Arab Rep.",EGY,"Population total",SP.POP.TOTL,92442549
"Egypt, Arab Rep.",EGY,"Population male",SP.POP.TOTL.MA.IN,46717678
"Egypt, Arab Rep.",EGY,"Population female",SP.POP.TOTL.FE.IN,45724871
"Egypt, Arab Rep.",EGY,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.72314742829085
"Egypt, Arab Rep.",EGY,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,21.6620974671631
"Egypt, Arab Rep.",EGY,"Armed forces personnel total",MS.MIL.TOTL.P1,835500
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,58.5520782470703
Cameroon,CMR,Surface area (sq. km),AG.SRF.TOTL.K2,475440
Cameroon,CMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,638.47
Cameroon,CMR,Rural population,SP.RUR.TOTL,10582588
Cameroon,CMR,"Population total",SP.POP.TOTL,23298376
Cameroon,CMR,"Population male",SP.POP.TOTL.MA.IN,11640880
Cameroon,CMR,"Population female",SP.POP.TOTL.FE.IN,11657496
Cameroon,CMR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.14443329649881
Cameroon,CMR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,27.6095407796239
Cameroon,CMR,"Armed forces personnel total",MS.MIL.TOTL.P1,23400
Nepal,NPL,Access to electricity (% of population),EG.ELC.ACCS.ZS,83.5274658203125
Nepal,NPL,Surface area (sq. km),AG.SRF.TOTL.K2,147180
Nepal,NPL,Scientific and technical journal articles,IP.JRN.ARTC.SC,538.47
Nepal,NPL,Rural population,SP.RUR.TOTL,22001853
Nepal,NPL,"Population total",SP.POP.TOTL,27015033
Nepal,NPL,"Population male",SP.POP.TOTL.MA.IN,12397963
Nepal,NPL,"Population female",SP.POP.TOTL.FE.IN,14617070
Nepal,NPL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.55663012583973
Nepal,NPL,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,36.4511417965013
Nepal,NPL,"Armed forces personnel total",MS.MIL.TOTL.P1,158600
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/28/2021,,,,
